
 Params: N = 95 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 6.473170280456543 | Max Price: 24.789148330688477
 Params: N = 100 | d = 1 | type of data: real| Becker Hist Avg price = 6.520855903625488 | Max Price: 25.25217628479004
 Params: N = 100 | d = 1 | type of data: real| Becker Hist, returns Avg price = 6.4580278396606445 | Max Price: 25.17457389831543
 Params: N = 100 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 6.479533672332764 | Max Price: 25.182518005371094
 Params: N = 10 | d = 1 | type of data: real| Becker Hist Avg price = 5.649399280548096 | Max Price: 10.315449714660645
 Params: N = 10 | d = 1 | type of data: real| Becker Hist Avg price = 5.617467880249023 | Max Price: 10.308987617492676
 Params: N = 10 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 5.651250839233398 | Max Price: 10.311211585998535
 Params: N = 15 | d = 1 | type of data: real| Becker Hist Avg price = 6.299394607543945 | Max Price: 12.621755599975586
 Params: N = 15 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 6.273121356964111 | Max Price: 12.596307754516602
 Params: N = 20 | d = 1 | type of data: real| Becker Hist Avg price = 6.705876350402832 | Max Price: 14.336019515991211
 Params: N = 20 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 6.7039947509765625 | Max Price: 14.336373329162598
 Params: N = 25 | d = 1 | type of data: real| Becker Hist Avg price = 7.014364242553711 | Max Price: 15.722926139831543
 Params: N = 25 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 7.033320903778076 | Max Price: 15.733498573303223
 Params: N = 30 | d = 1 | type of data: real| Becker Hist Avg price = 7.022825717926025 | Max Price: 16.913890838623047
 Params: N = 30 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 7.023752212524414 | Max Price: 16.900054931640625
 Params: N = 35 | d = 1 | type of data: real| Becker Hist Avg price = 7.091998100280762 | Max Price: 17.964479446411133
 Params: N = 35 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 7.060212135314941 | Max Price: 17.953954696655273
 Params: N = 40 | d = 1 | type of data: real| Becker Hist Avg price = 6.967860221862793 | Max Price: 18.81053352355957
 Params: N = 40 | d = 1 | type of data: real| Becker/Ours CNN Avg price = 7.120485305786133 | Max Price: 18.781558990478516
 Params: N = 45 | d = 1 | type of data: real| Becker Hist Avg price = 7.044270038604736 | Max Price: 19.58592414855957
