Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,47.9956169128418,45.51559829711914,47.9956169128418,45.88031005859375,6471200.0,34.160614013671875
2000-01-04,45.479129791259766,43.50970458984375,45.31501007080078,44.147945404052734,10440800.0,32.870758056640625
2000-01-05,44.6767692565918,42.962642669677734,43.910884857177734,42.962642669677734,8646200.0,32.03586959838867
2000-01-06,44.45794677734375,42.452049255371094,42.452049255371094,43.83794021606445,10990900.0,32.688568115234375
2000-01-07,44.78618240356445,43.32735061645508,43.98382568359375,44.47618103027344,6016400.0,33.16447067260742
2000-01-10,45.679718017578125,44.31206130981445,44.64030075073242,45.09618377685547,4906300.0,33.626792907714844
2000-01-11,46.68266677856445,44.85912322998047,45.041481018066406,45.51559829711914,7158400.0,33.93952941894531
2000-01-12,46.354427337646484,44.767948150634766,45.49736404418945,45.27853775024414,5816900.0,33.76276397705078
2000-01-13,46.17207336425781,45.005008697509766,45.66148376464844,45.51559829711914,5831000.0,33.93952941894531
2000-01-14,47.010902404785156,46.007957458496094,46.08089828491211,46.53678512573242,6290600.0,34.70100021362305
2000-01-18,46.0991325378418,44.2026481628418,46.0991325378418,44.22088623046875,5867700.0,32.97408676147461
2000-01-19,45.1508903503418,43.400291442871094,44.78618240356445,43.45499801635742,6608700.0,32.402992248535156
2000-01-20,45.11442184448242,43.29087829589844,43.83794021606445,44.175296783447266,11311000.0,32.94011306762695
2000-01-21,44.85912322998047,44.03853225708008,44.64030075073242,44.257354736328125,6310800.0,33.00129318237305
2000-01-24,46.0991325378418,43.94735336303711,45.005008697509766,44.348533630371094,10029900.0,33.06928634643555
2000-01-25,46.31795883178711,44.23912048339844,44.23912048339844,46.20854568481445,10150500.0,34.45623779296875
2000-01-26,47.86796951293945,46.53678512573242,46.68266677856445,46.60972595214844,13196800.0,34.75539779663086
2000-01-27,47.92267608642578,46.70090103149414,46.97443389892578,47.539730072021484,6235400.0,35.44887161254883
2000-01-28,47.339141845703125,46.02619171142578,47.010902404785156,46.17207336425781,7210500.0,34.42902755737305
2000-01-31,48.36032485961914,45.75265884399414,45.80736541748047,48.06855773925781,7406900.0,35.84318923950195
2000-02-01,49.45444869995117,47.79502868652344,48.013851165771484,49.30856704711914,9279600.0,36.76783752441406
2000-02-02,49.162681579589844,47.74032211303711,49.162681579589844,47.90443801879883,8956800.0,35.72079849243164
2000-02-03,48.287384033203125,46.865020751953125,47.9956169128418,47.5214958190918,7454900.0,35.435272216796875
2000-02-04,47.74032211303711,46.865020751953125,47.5214958190918,47.102081298828125,5155100.0,35.12251663208008
2000-02-07,47.813262939453125,46.956199645996094,47.102081298828125,47.39384841918945,4470600.0,35.34008026123047
2000-02-08,48.2326774597168,47.485023498535156,47.70384979248047,47.55796813964844,5268500.0,35.462467193603516
2000-02-09,47.5214958190918,45.22383499145508,47.5214958190918,45.679718017578125,7182100.0,34.0619010925293
2000-02-10,46.53678512573242,44.822654724121094,45.69795227050781,45.07794952392578,5986200.0,33.613197326660156
2000-02-11,46.11737060546875,44.330299377441406,45.22383499145508,44.78618240356445,6520900.0,33.39561462402344
2000-02-14,46.08089828491211,44.78618240356445,44.78618240356445,44.93206787109375,5418300.0,33.504398345947266
2000-02-15,46.5732536315918,44.87736129760742,45.005008697509766,46.427371978759766,4668100.0,34.61940002441406
2000-02-16,45.73442459106445,44.385005950927734,45.66148376464844,44.886478424072266,7616700.0,33.470420837402344
2000-02-17,45.36971664428711,41.686161041259766,45.005008697509766,43.163230895996094,14201000.0,32.18545913696289
2000-02-18,43.163230895996094,39.4979133605957,43.144996643066406,40.33674240112305,15618600.0,30.077821731567383
2000-02-22,40.9202766418457,40.154388427734375,40.70145034790039,40.592037200927734,13781500.0,30.26818084716797
2000-02-23,41.04792404174805,39.880855560302734,40.555564880371094,40.300270080566406,10902200.0,30.05063247680664
2000-02-24,40.42791748046875,37.6014289855957,40.154388427734375,37.92966842651367,19860700.0,28.282941818237305
2000-02-25,39.09673309326172,36.1790657043457,38.257904052734375,36.397891998291016,16576200.0,27.140735626220703
2000-02-28,39.53438186645508,36.90848159790039,36.90848159790039,38.695552825927734,16359600.0,28.854042053222656
2000-02-29,39.7349739074707,38.36731719970703,39.680267333984375,39.15143966674805,8560900.0,29.193984985351562
2000-03-01,40.09968185424805,38.56790542602539,39.9720344543457,39.53438186645508,7788700.0,29.479528427124023
2000-03-02,40.09968185424805,38.62261199951172,39.9720344543457,38.969085693359375,8707600.0,29.058000564575195
2000-03-03,40.37321090698242,38.294376373291016,40.19085693359375,38.95085144042969,8775100.0,29.044414520263672
2000-03-06,39.0237922668457,37.52848815917969,38.95085144042969,37.71084213256836,7299600.0,28.11977195739746
